Name of Source,Well,Volume,Name of Dest Plate,Well,Volume
,H1,17,,A1,3
,H2,18,,A2,2
,H3,14,,A3,6
,H4,16,,A4,4
,H5,17,,A5,3
,H6,18,,A6,2
,H7,14,,A7,6
,H8,16,,A8,4
,H9,17,,A9,3
,H10,18,,A10,2
,H11,14,,A11,6
,A4,17,,A12,3
,A5,18,,B1,2
,A6,14,,B2,6
,A7,16,,B3,4
,A8,17,,B4,3
,A9,18,,B5,2
,A10,14,,B6,6
,A11,16,,B7,4
,A12,17,,B8,3
,B1,18,,B9,2
,B2,14,,B10,6
,B3,16,,B11,4
,B4,17,,B12,3
,B5,18,,C1,2
,B6,14,,C2,6
,B7,16,,C3,4
,B8,17,,C4,3
,C6,17,,C5,3
,C7,18,,C6,2
,C8,14,,C7,6
,C9,16,,C8,4
,C10,14,,C9,6
,C11,16,,C10,4
,C12,17,,C11,3
,D1,18,,C12,2
,D2,14,,D1,6
,D3,16,,D2,4
,D4,12,,D3,8
,D5,15,,D4,5
,D6,14,,D5,6
,D7,13,,D6,7
,D8,12,,D7,8
,D9,15,,D8,5
,D10,17,,D9,3
,D11,14,,D10,6
,D12,16,,D11,4
,E1,17,,D12,3
,E2,18,,E1,2
,E3,14,,E2,6
,E4,16,,E3,4
,E5,12,,E4,8
,E6,15,,E5,5
,E7,14,,E6,6
,E8,13,,E7,7
,E9,12,,E8,8
,E10,15,,E9,5
,E11,17,,E10,3
,E12,14,,E11,6
,F1,16,,E12,4
,F2,17,,F1,3
,F3,18,,F2,2
,F4,14,,F3,6
,F5,16,,F4,4
,F6,12,,F5,8
,F7,15,,F6,5
,F8,14,,F7,6
,F9,13,,F8,7
,F10,12,,F9,8
,F11,15,,F10,5
,F12,17,,F11,3
,G1,14,,F12,6
,G2,16,,G1,4
,G3,17,,G2,3
,G4,18,,G3,2
,G5,14,,G4,6
,G6,16,,G5,4
,G7,12,,G6,8
,G8,15,,G7,5
,G9,14,,G8,6
,G10,13,,G9,7
,G11,12,,G10,8
,G12,15,,G11,5
,H1,17,,G12,3
,H2,14,,H1,6
,H3,16,,H2,4
,H4,17,,H3,3
,H5,18,,H4,2
,H6,14,,H5,6
,H7,16,,H6,4
,H8,12,,H7,8
,H9,15,,H8,5
,H10,14,,H9,6
,H11,13,,H10,7
,A1,12,,H11,8
,A2,15,,H12,5
